leagueId,tier,number
03c0ab00-d020-11e9-bd12-c81f66dbb56c,GOLD,192
03c26b50-37a7-11e9-8cee-c81f66cf135e,SILVER,175
03c4d720-21c0-11e9-9704-c81f66cf135e,GOLD,196
03c8b830-2243-11e9-aa7f-c81f66cf2333,SILVER,163
03d0dff0-6088-11e9-9d2d-c81f66dbb56c,GOLD,191
03d189a0-2005-11e9-a69a-c81f66dbb56c,BRONZE,139
03d75410-26aa-11e9-a3ec-c81f66cf2333,BRONZE,58
03dfe600-210c-11e9-9704-c81f66cf135e,GOLD,195
03e47d70-2b1e-11e9-aa2d-c81f66dbb56c,GOLD,189
03e5cb30-83ed-11e9-be44-c81f66cf135e,SILVER,86
03f09940-1fd7-11e9-a69a-c81f66dbb56c,BRONZE,117
03fb6be0-201d-11e9-bc42-c81f66dbb56c,BRONZE,109
03fb78d0-2052-11e9-a3e1-c81f66cf2333,SILVER,181
03fcc8f0-2653-11e9-a8bf-c81f66dbb56c,BRONZE,95
03fda600-20f2-11e9-a43b-c81f66cf135e,IRON,50
04063ee0-9fa1-11e9-a30f-c81f66cf2333,SILVER,118
040d0fc0-b565-11e9-8949-c81f66cf2333,GOLD,200
040f6460-5e6b-11e9-93fd-c81f66cf2333,DIAMOND,202
042597d0-457a-11e9-8d57-c81f66cf2333,BRONZE,132
0425e5f0-457a-11e9-8d57-c81f66cf2333,BRONZE,47
042baa50-e965-11e9-9daf-c81f66dbb56c,SILVER,93
042ebf90-457a-11e9-8d57-c81f66cf2333,SILVER,169
042f82e0-457a-11e9-8d57-c81f66cf2333,SILVER,160
043a8110-3d03-11e9-acc9-c81f66cf2333,BRONZE,65
043befc0-1ffb-11e9-aa34-c81f66cf135e,SILVER,172
044b4750-2022-11e9-aac6-c81f66cf2333,SILVER,165
0460ab40-1ffa-11e9-a69a-c81f66dbb56c,GOLD,193
0466cc50-e859-11e9-922c-c81f66cf2333,PLATINUM,118
04698ef0-8a34-11e9-8a0e-c81f66cf135e,BRONZE,47
046cbd70-21a0-11e9-af42-c81f66dbb56c,SILVER,173
04750f60-631e-11e9-ab51-c81f66cf135e,SILVER,175
04802d40-2012-11e9-a69a-c81f66dbb56c,BRONZE,69
048b31f0-1fdf-11e9-beb2-c81f66cf135e,BRONZE,58
048d8650-2168-11e9-b502-c81f66cf2333,BRONZE,102
04998700-2025-11e9-97cd-c81f66cf135e,BRONZE,97
04a85410-3d71-11e9-b700-c81f66cf2333,PLATINUM,199
04b8f920-21d6-11e9-b502-c81f66cf2333,BRONZE,106
04ba3580-20c1-11e9-a43b-c81f66cf135e,IRON,74
04ba48d0-7671-11e9-9b40-c81f66cf2333,BRONZE,61
04bb9450-202d-11e9-9a46-c81f66dbb56c,BRONZE,125
04bfd060-21a9-11e9-aa7f-c81f66cf2333,IRON,38
04cb2060-3f08-11e9-acc9-c81f66cf2333,SILVER,85
04cb7310-2bc3-11e9-ac1b-c81f66cf2333,PLATINUM,214
04dd43e0-435d-11e9-8a61-c81f66dbb56c,GOLD,201
04e146b0-20db-11e9-a43b-c81f66cf135e,SILVER,163
04e31b40-6c65-11e9-918e-c81f66cf135e,SILVER,178
04e9f940-457a-11e9-8d57-c81f66cf2333,PLATINUM,195
04eb2c00-27d1-11e9-a964-c81f66dbb56c,SILVER,166
04edc250-2748-11e9-a04d-c81f66dbb56c,SILVER,173
04f0b3a0-27b8-11e9-ac29-c81f66cf135e,BRONZE,119
04f0cb20-3de7-11e9-acc9-c81f66cf2333,PLATINUM,201
04f1bb50-2034-11e9-bc42-c81f66dbb56c,BRONZE,126
04fd8000-39ef-11e9-8595-c81f66dbb56c,SILVER,179
0503dd40-af4e-11e9-aed4-c81f66cf135e,GOLD,200
05041880-20fd-11e9-a447-c81f66cf2333,IRON,26
05084670-9007-11e9-8251-c81f66dbb56c,GOLD,199
0513ce50-8576-11e9-9959-c81f66cf2333,SILVER,177
0517d580-7b7c-11e9-bd4d-c81f66cf2333,PLATINUM,199
0517e540-2116-11e9-b502-c81f66cf2333,GOLD,191
0519b400-0465-11ea-8146-b2b4ab224bee,SILVER,55
051da560-8da5-11e9-8251-c81f66dbb56c,PLATINUM,197
0521ca40-dba8-11e9-9874-c81f66dbb56c,BRONZE,38
0521d120-20e6-11e9-8b20-c81f66cf135e,GOLD,206
0537fb30-4035-11e9-bc29-c81f66cf135e,SILVER,171
053c64c0-fcf2-11e9-90b6-96db573dc5f4,DIAMOND,106
053ce0d0-6940-11e9-bf91-c81f66cf2333,SILVER,179
053efee0-33e6-11e9-8e2d-c81f66cf135e,BRONZE,46
054361f0-229e-11e9-b502-c81f66cf2333,IRON,66
054a9790-2122-11e9-a1e0-c81f66cf135e,IRON,59
054daf30-3486-11e9-b773-c81f66dbb56c,BRONZE,59
