,summonerId,summonerName
189,FVkSZk6HSdF7rT_fmODC0YDi17w9Rcjuh_c1pA0OOXYkJPMe,Say it Back
190,8ZoRNmZaCrLqRcOa9dQiMplvxr28LggK2IxGv0Wovkq--xmP,for lisa
191,mVROUJVrmtXAzjrWeXhkjsisoeq8X6kTrNMaAGrP6Wzu7baQ,bury me
192,dqq15UoS8zfUGqRhkYx9gLYF0vwPXFdoTb8VNgW2rkAr8Naz,epy
193,wmggL7iEUMWc5IYAr3GZjHC-MbZEODgAGW6OIaLAfhHYmUVU,Mental Kn1fe
194,zHf6yb03EmrCEX_F7FRjKUPlh8d_WscqvjmIq-IwszFcOUk3,ProfSpankNRank
195,i2E7flrl0-Ghm922si1Knwuvh_wJefGiNJRggFILGKA,Smmmmmmmmmmart
196,YspGGZItP35yQRBGw2zee06sSAa_cL35H7gNTkfRM_QOYNBb,fav satang
197,o1M6VlVU8RdO-whRastWE5EwqZOTlxcatoR1bdR067hZsjuW,TwTv APTrixxie
198,0WGXGgZGF94qBRfEts-ENMYOWcSoXIhSJtwe1KHYxx3IrK_Q,Le Novice
199,6ub5ySHFynAwFZc0RID6nXeO6MiosxF21kpYCQohrZ2rPLOb,Snowflake Fan
200,IjhUdrtS7nKwfwQULCj31VxnPRubZzeKvJerf2OFTffbx7ux,Just Only Carry
201,BmqV4Vyg6ABED6ZeenvHPDxgcZfXZ4-kFWod8SjjlKDtEIv_,LL Marhada
202,WQawZTYztwtspYM3ry27rrtI_jJtPx1zFqaUW-7t0Po0y65R,Ning Shy Forever
203,4A5WAC2VXqE9aW8ppCymFYWgQG_16rffz2WbD0ZLjfmC8iN9,Jeilm
204,wpwA70Nn78zHlCwXbtDF0jj1fhASUdLWGChipYf0UrkGTvAa,8th Avenue Yasuo
205,IjhUdrtS7nKwfwQULCj31VxnPRubZzeKvJerf2OFTffbx7ux,Just Only Carry
206,BmqV4Vyg6ABED6ZeenvHPDxgcZfXZ4-kFWod8SjjlKDtEIv_,LL Marhada
207,WQawZTYztwtspYM3ry27rrtI_jJtPx1zFqaUW-7t0Po0y65R,Ning Shy Forever
208,4A5WAC2VXqE9aW8ppCymFYWgQG_16rffz2WbD0ZLjfmC8iN9,Jeilm
209,wpwA70Nn78zHlCwXbtDF0jj1fhASUdLWGChipYf0UrkGTvAa,8th Avenue Yasuo
210,Fky6wv6vp-MS0bwVzHBXtPPiwdM2tZQJ0xOpd7VWu9RtZPRB,ANIME OTAKU 420
211,OjCPGWnaVySTDz_9rNjCKz6JsujDSdlMFYSp5CjMEab-UIYF,PhDinGanking
212,1pcDIyhzCXEGp4PbfUjqpbggnMg8Y6opbayei4iG2jQlBtkS,blaoop
213,cwMS7ydxQ-wtjvUJdeD6ojGVq4HF27wRZsH3qp9yJYPc,LJD
214,pG796ZGoq5f6Iv7F8qQ8hmcSa2JdaJsMhPKhX8Jqfl5v8CR_,CoolKidNeverDie
215,QQEC69TgHJy8x3j0EwFIdoNkb4sEtt0NGr4BO4-BNNRm0-xN,Nicalo1
216,3Qe5xz_MuTC8TVFod-6wnSsQCg4cIhr8R-BkHNvGx5tkSHIj,fortniteExpert69
217,6oUqIjJmJDGfn5Qci9ppLZ73Ll3YJgDCWw76B10FeM5W_5yU,LetsplaysoloQ
218,INMyFlGjV31YMUt1YlTBDPaX-TWRJVLYb7_7K0rsiNVyeSxP,WX rtx2080gg
219,s77hekYC8tZG5LPOSnveNxAgb_wDw1-BL__ObSskr2ot8zSg,Mid9
220,oE0YeLfuLg76sQO4lL4Nv7uxvnejpKnV0q0AfrDDL2Ack8Gs,Piramisu
221,V139RDwVpFBCfaUAJturOtT_XSSKHFbfmLmlw9LJIfu5-T6G,what a day
222,8jtH8CnbdT2eaioanFHFjyFakn11l8u1D-PKKMWaiaOOZj7x,lordbebe1
223,tuM4ylELkpEuz0R-_84iW0u7bnQXoY_3m3QITc4V9HceDe6i,ˇUNIV3RSE
224,sOUm6bWJ3H-pnp4SA5lBrA1DRs69qWODHXaozlvPXQ7vE8XT,Aminatu
225,TSlcWQgown1mWPfy1IN24jg_z7CRryZZBsAkO6nSMOeY1ep3,ninjabuddist
226,xEIC-Bjfc5SE-sQPLTI7BOBRb8wglsV2dyEL3ZuWzm8TM-32,CineraM
227,y_CbfbTRTzhR8D8gYyZ7C7vI4syqPTqyAvl-Nt6cK8oyrEGd,XiaoJianBiu
228,33GQ_jsiFVm6SghLQzP5iI5L9TP_RR4BbKaSfi6wzrlK4bl4,ButterIsOkay
229,18uDr4vc6M3q2TjsJB4-IWj-6PXBrUkNHIB3ZmnGI6NBNLbu,LE ROI ROBERT XD
230,UlouypuQ_rGTt3JkhT7898t5q-7NsoMToyEP4ehnc8rVrSZQ,ZoreKKKKKKKKKK
231,PR4NQLM-2iN4FDcJoMoxacwDgK8iFhs3dOnPAzUqP7k7yKHZ,D FLASH HATER
232,JffQglPj0EMV9j1HgxmTAb4tYahSVjPgizFOEWKXH6UkqI4s,Rhyamin
233,Nqp_UkRBGFZm7ecxVYwlm5GYxU-bGxDIrdvvIvuCI8MAxdy1,lai xialu
234,1acPlGNWV8jzNzWTZ2ybnNS3pMkou7z1zZFdY7WAm8i8W1RG,Felmeltgleam
235,mdmp7tUlW0dVkS-CVEYJpBtp5yD936iQGHz3g7vWZmQqb81f,XTN Witsi
236,x4X9hqcI5SIqQY_Bk_VbeULERNaoQNFMAdmc2CY7AGVruYY2,Phoenix ccc
237,JQgOAs5YZPXUWa6F8-PT2kDEqg4310i5NJF_KifjV3qPCYzH,Jrezx
238,gMmvM-kDMuUGpS0wfeqFGiLsF2niTViojbu1To1UNBSh1bVJ,Enzopapapa
239,NCWm1NfwbaubniyzG_pevrGJizY4o-ejZ28sM9upTQoUgq1L,Apples are cute
240,3eVbpAnZ_mT6qXrq3rx0JtmugdTqH0YnLKhrhtSmFq_9zgVS,ISleptWithYoMama
241,YZdy2O91Xwvqt0-x6gPuX9g--RemMug1nkjQYI6AQbhmVLN_,Medea
242,T7UnLG9XuEicKge_0Ni10q5fOEn3PSIp0t6vn1wusb6hSKGz,Snitch242
243,LBiBoGl2ZJ6cdb-o29_uOUMdPbiy1xmM5G4co2Fevk2ve9-Z,Boundries
244,wd-FyITFRzHTug2xIObX_ENgMNkCOZT5sSKdTYWZrlvZxM4u,NDMay0
245,F769B2EoQbVmGZDJLUpr22cJS7tye6Gn4dd5K8HYNdfMvoMh,HugeRedPanda
246,B0FbjOp2kAxJvmWFvdHxtry0KMf75MKIA9yPZui0WdA-368b,Etherxela
